,contributor,feat_NA,feat_NT,feat_NR,feat_NOR,feat_ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,acc_type
1377,xappbot,20,2,1,1,1.0,18.252,0.0,39.022,0.808,15.817,20.0,20.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,346.78,346.78,0.0,0.0,0.0,,,0.0,0.0,,20.294,0.0,40.876,0.788,19.055,10.0,10.0,0.0,0.0,0.0,bot
1384,yarnbot,41,4,1,1,1.0,53.401,14.126,78.861,0.666,90.757,41.0,41.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,41.0,41.0,0.0,0.0,0.0,2136.023,2136.023,0.0,0.0,0.0,,,0.0,0.0,,65.072,27.215,88.72,0.625,92.858,10.25,10.5,6.801,0.311,10.25,bot
1385,yast-bot,162,2,45,2,0.044,13.615,0.361,27.719,0.798,12.699,3.6,2.0,4.444,0.466,2.0,1.0,1.0,0.0,0.0,0.0,1.209,1.0,0.549,0.152,0.0,4.721,0.0,20.443,0.677,0.0,11.725,0.145,27.013,0.822,11.429,31.5,21.045,33.045,0.468,24.434,81.0,81.0,74.953,0.327,53.0,bot
1386,yii-bot,60,2,1,1,1.0,36.889,19.205,48.546,0.645,56.085,60.0,60.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,2176.468,2176.468,0.0,0.0,0.0,,,0.0,0.0,,120.47,120.47,6.071,0.018,4.293,30.0,30.0,41.012,0.483,29.0,bot
1391,yunion-ci-robot,204,3,24,2,0.083,0.164,0.001,1.524,0.982,0.001,8.5,5.0,4.634,0.288,8.0,2.25,2.0,0.532,0.11,1.0,1.052,1.0,0.244,0.047,0.0,0.001,0.0,0.016,0.831,0.0,0.171,0.001,1.562,0.982,0.001,0.021,0.001,0.062,0.859,0.004,68.0,46.0,68.695,0.431,66.0,bot
1392,yunohost-bot,300,4,69,2,0.029,0.314,0.007,0.82,0.842,0.169,4.348,3.0,3.666,0.416,3.0,2.232,2.0,0.987,0.217,0.0,2.29,2.0,1.581,0.355,2.0,0.079,0.0,0.305,0.876,0.003,0.643,0.17,1.135,0.724,0.523,0.26,0.002,0.843,0.892,0.057,75.0,68.5,54.815,0.333,86.0,bot
1395,zalando-robot,275,3,6,2,0.333,8.006,0.098,21.356,0.868,2.272,45.833,8.5,91.907,0.732,13.0,1.667,1.5,0.816,0.233,1.0,10.577,4.0,15.943,0.592,13.5,59.942,1.077,142.843,0.801,60.788,25.409,3.282,39.486,0.712,22.375,8.88,0.101,21.522,0.848,3.459,91.667,109.0,32.655,0.141,29.0,bot
1396,zalando-teapot-robot,139,4,1,1,1.0,8.31,0.0,28.378,0.852,2.82,139.0,139.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,139.0,139.0,0.0,0.0,0.0,1146.75,1146.75,0.0,0.0,0.0,,,0.0,0.0,,7.688,0.0,29.307,0.881,1.545,34.75,40.0,24.047,0.308,14.25,bot
1398,zapbot,293,4,14,2,0.143,1.637,0.054,5.24,0.862,1.087,20.929,10.5,21.784,0.477,21.75,1.286,1.0,0.726,0.19,0.0,1.356,1.0,1.148,0.241,0.0,0.865,0.0,5.749,0.774,0.0,1.353,0.005,3.244,0.857,0.361,1.149,0.003,3.062,0.878,0.176,73.25,58.5,71.979,0.456,97.25,bot
1401,zebot,138,4,2,1,0.5,15.303,4.277,21.683,0.66,21.728,69.0,69.0,96.167,0.493,68.0,2.0,2.0,1.414,0.25,1.0,46.0,30.0,54.781,0.512,53.0,698.821,517.147,805.179,0.253,789.658,0.041,0.041,0.042,0.37,0.03,7.312,0.123,18.848,0.857,2.025,34.5,4.5,62.357,0.692,32.5,bot
1403,zephyrbot,7,4,1,1,1.0,20.351,2.389,41.062,0.707,8.795,7.0,7.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,122.104,122.104,0.0,0.0,0.0,,,0.0,0.0,,3.687,1.515,5.008,0.477,2.006,1.75,1.0,1.5,0.321,0.75,bot
1404,zeuswpi-bot,25,1,1,1,1.0,83.227,44.253,162.129,0.677,66.366,25.0,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,1997.449,1997.449,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,25.0,25.0,0.0,0.0,0.0,bot
1406,zhaobot,9,3,4,3,0.75,183.003,0.032,335.007,0.748,189.404,2.25,2.5,0.957,0.194,1.25,1.25,1.0,0.5,0.15,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.003,0.032,335.007,0.748,189.404,183.003,0.032,335.007,0.748,189.404,3.0,4.0,1.732,0.222,1.5,bot
1412,zulipbot,86,3,4,1,0.25,1.889,0.664,2.731,0.666,2.724,21.5,2.0,39.678,0.703,21.5,1.75,1.5,0.957,0.25,1.25,8.6,2.5,9.823,0.565,15.0,13.526,1.919,20.714,0.409,24.365,2.811,2.645,2.117,0.402,3.493,2.292,1.339,3.132,0.63,2.795,28.667,35.0,17.388,0.256,16.5,bot
1413,zx2c4-bot,34,5,3,2,0.667,62.287,0.287,151.805,0.851,40.988,11.333,10.0,4.163,0.157,4.0,2.667,3.0,1.528,0.25,1.5,3.091,2.0,3.27,0.46,2.5,37.838,0.207,65.277,0.531,56.771,163.926,38.021,246.992,0.696,230.508,71.597,0.141,154.038,0.799,76.465,6.8,2.0,11.323,0.635,2.0,bot
