,contributor,feat_NA,feat_NT,feat_NR,feat_NOR,feat_ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,acc_type
1238,taylorbot,282,5,69,1,0.014,1.177,0.086,5.96,0.896,0.291,4.087,3.0,3.936,0.397,3.0,1.942,2.0,0.482,0.069,0.0,1.796,2.0,1.175,0.266,1.0,0.083,0.011,0.22,0.685,0.063,2.037,0.232,7.904,0.866,0.827,1.223,0.081,6.742,0.913,0.239,56.4,5.0,73.948,0.594,119.0,bot
1244,technote-space,300,3,25,1,0.04,1.852,0.002,4.602,0.865,0.036,12.0,9.0,5.944,0.264,10.0,2.44,2.0,0.507,0.101,1.0,1.987,2.0,0.673,0.176,0.0,0.001,0.0,0.002,0.59,0.001,3.69,0.036,5.961,0.738,5.924,1.781,0.002,4.497,0.869,0.03,100.0,119.0,32.909,0.127,28.5,bot
1250,tensorflow-jenkins,159,4,3,2,0.667,13.485,14.148,12.296,0.469,23.908,53.0,10.0,82.395,0.616,73.5,2.0,1.0,1.732,0.333,1.5,7.227,1.0,11.53,0.674,7.75,89.838,0.0,177.556,0.496,103.985,7.34,1.543,16.63,0.771,6.641,6.944,1.543,11.631,0.699,11.997,39.75,35.0,31.92,0.366,20.75,bot
1252,testcafe-build-bot,62,4,42,2,0.048,33.839,0.001,180.428,0.962,0.001,1.476,1.0,1.234,0.276,0.0,1.19,1.0,0.455,0.136,0.0,1.24,1.0,0.687,0.171,0.0,7.805,0.0,55.186,0.875,0.0,34.162,0.001,198.338,0.971,0.001,20.312,0.001,73.425,0.925,0.013,15.5,3.5,25.775,0.661,17.0,bot
1258,theforeman-bot,89,1,7,2,0.286,15.212,3.007,26.464,0.649,17.778,12.714,3.0,17.764,0.626,20.0,1.0,1.0,0.0,0.0,0.0,2.472,1.0,2.274,0.43,2.0,12.122,0.0,26.863,0.552,6.178,25.779,13.007,34.777,0.628,28.236,,,0.0,0.0,,89.0,89.0,0.0,0.0,0.0,bot
1260,thewca-bot,63,3,2,2,1.0,33.368,0.0,115.023,0.879,1.785,31.5,31.5,19.092,0.214,13.5,1.5,1.5,0.707,0.167,0.5,1.75,1.0,1.204,0.313,1.25,32.962,0.0,106.439,0.727,0.003,25.205,0.0,111.211,0.91,1.306,35.233,0.0,118.731,0.874,1.41,21.0,19.0,4.359,0.085,4.0,bot
1266,thundernest-bot,300,1,2,2,1.0,5.023,1.256,9.1,0.712,4.772,150.0,150.0,56.569,0.133,40.0,1.0,1.0,0.0,0.0,0.0,150.0,150.0,56.569,0.133,40.0,748.175,748.175,596.819,0.282,422.015,5.671,5.671,0.0,0.0,0.0,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0,bot
1268,tidebot,90,1,6,1,0.167,22.773,0.0,67.646,0.885,4.792,15.0,10.5,13.55,0.444,18.75,1.0,1.0,0.0,0.0,0.0,4.737,3.0,3.212,0.288,1.5,26.98,0.001,57.245,0.827,0.956,84.123,26.309,122.689,0.628,81.958,,,0.0,0.0,,90.0,90.0,0.0,0.0,0.0,bot
1273,tizendocsbot,299,4,2,2,1.0,1.629,0.001,10.38,0.963,0.003,149.5,149.5,210.011,0.497,148.5,2.0,2.0,1.414,0.25,1.0,99.667,14.0,159.77,0.631,141.5,129.444,2.491,222.05,0.494,192.921,48.522,48.522,68.572,0.5,48.488,6.636,0.022,25.004,0.927,0.174,74.75,7.0,139.529,0.71,70.75,bot
1274,tldr-bot,300,1,1,1,1.0,3.185,0.234,5.957,0.766,3.366,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,952.418,952.418,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0,bot
1281,translatewiki,300,3,98,58,0.592,1.69,0.004,11.868,0.976,0.019,3.061,2.0,2.572,0.411,3.0,1.133,1.0,0.446,0.108,0.0,1.083,1.0,0.276,0.07,0.0,0.0,0.0,0.0,0.297,0.0,1.831,0.006,12.344,0.974,0.021,4.047,0.001,17.786,0.95,0.016,100.0,25.0,145.77,0.58,130.5,bot
1282,travisdowns-bot,19,3,2,1,0.5,98.821,0.0,223.991,0.768,3.374,9.5,9.5,7.778,0.289,5.5,2.0,2.0,1.414,0.25,1.0,9.5,9.5,7.778,0.289,5.5,887.139,887.139,1254.592,0.5,887.13,4.497,4.497,0.0,0.0,0.0,70.877,0.0,161.677,0.725,3.373,6.333,5.0,2.309,0.14,2.0,bot
1283,trendmicro-frontend-bot,8,1,1,1,1.0,304.605,115.768,346.322,0.529,337.758,8.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,2132.232,2132.232,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,8.0,8.0,0.0,0.0,0.0,bot
1284,trex-bot,9,1,1,1,1.0,248.908,85.501,381.631,0.612,122.311,9.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,1991.266,1991.266,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,9.0,9.0,0.0,0.0,0.0,bot
1285,trilinos-autotester,287,5,1,1,1.0,0.524,0.028,1.228,0.838,0.217,287.0,287.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,287.0,287.0,0.0,0.0,0.0,149.976,149.976,0.0,0.0,0.0,,,0.0,0.0,,0.166,0.003,0.551,0.913,0.003,57.4,1.0,120.602,0.772,10.0,bot
1286,trilio-ci-bot,9,3,2,2,1.0,33.876,0.065,95.638,0.874,0.143,4.5,4.5,2.121,0.167,1.5,1.5,1.5,0.707,0.167,0.5,1.286,1.0,0.756,0.19,0.0,0.005,0.0,0.012,0.0,0.0,45.163,0.121,110.425,0.832,0.136,45.163,0.121,110.425,0.832,0.136,3.0,3.0,1.0,0.148,1.0,bot
1298,twlbot,203,3,2,2,1.0,7.745,0.011,19.753,0.773,2.154,101.5,101.5,140.714,0.49,99.5,2.5,2.5,0.707,0.1,0.5,67.667,59.0,70.401,0.46,70.0,492.678,413.113,536.9,0.22,532.46,43.259,43.259,32.171,0.263,22.748,6.875,0.0,19.765,0.781,0.479,67.667,98.0,56.039,0.325,49.5,bot
1301,uberopensourcebot,37,1,1,1,1.0,59.188,37.548,54.374,0.493,83.337,37.0,37.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,37.0,37.0,0.0,0.0,0.0,2130.779,2130.779,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,37.0,37.0,0.0,0.0,0.0,bot
1302,ubo-bot,16,1,3,1,0.333,99.479,0.332,190.038,0.789,69.769,5.333,7.0,3.786,0.292,3.5,1.0,1.0,0.0,0.0,0.0,1.333,1.0,0.492,0.167,1.0,5.883,0.0,20.116,0.739,0.214,129.235,1.196,215.745,0.742,166.274,,,0.0,0.0,,16.0,16.0,0.0,0.0,0.0,bot
1303,ucloud-bot,154,4,5,3,0.6,13.781,0.001,41.196,0.887,1.322,30.8,8.0,53.807,0.644,4.0,1.8,2.0,0.837,0.222,1.0,5.31,1.0,7.87,0.633,5.0,54.088,0.0,110.826,0.626,51.01,19.281,0.208,41.211,0.811,10.522,13.869,0.001,41.317,0.886,1.323,38.5,47.0,21.44,0.237,17.5,bot
1307,ui5-webcomponents-react-bot,17,3,1,1,1.0,105.587,0.019,189.295,0.558,108.098,17.0,17.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,1689.384,1689.384,0.0,0.0,0.0,,,0.0,0.0,,105.587,0.019,189.295,0.558,108.098,5.667,8.0,4.041,0.275,3.5,bot
1311,uport-automation-bot,158,7,8,2,0.25,11.804,0.005,42.465,0.924,0.349,19.75,16.5,14.26,0.38,22.0,3.625,3.0,1.923,0.263,3.0,3.591,3.0,1.969,0.253,1.0,1.512,0.01,8.18,0.953,0.019,41.552,4.059,73.35,0.764,60.828,11.848,0.005,44.085,0.928,0.494,22.571,27.0,19.518,0.441,35.5,bot
1312,usercont-release-bot,295,9,5,1,0.2,0.683,0.075,2.557,0.889,0.14,59.0,6.0,118.539,0.734,5.0,2.2,1.0,2.168,0.4,1.0,16.389,6.0,17.869,0.544,29.0,3.527,2.079,6.159,0.569,2.71,8.085,7.475,4.49,0.306,5.559,1.045,0.028,3.31,0.89,0.143,32.778,18.0,49.731,0.594,13.0,bot
1315,va-bot,151,2,6,1,0.167,5.611,1.053,11.626,0.752,5.699,25.167,24.5,14.303,0.288,12.75,1.333,1.0,0.516,0.167,0.75,1.056,1.0,0.259,0.051,0.0,0.741,0.0,6.15,0.69,0.0,5.181,1.048,10.519,0.746,5.759,21.076,6.124,30.882,0.591,28.036,75.5,75.5,103.945,0.487,73.5,bot
1316,va-cms-bot,300,2,2,1,0.5,1.669,0.331,5.171,0.8,0.948,150.0,150.0,123.037,0.29,87.0,1.5,1.5,0.707,0.167,0.5,5.263,3.0,7.456,0.569,4.0,7.32,0.595,17.031,0.74,3.25,1.462,0.517,2.826,0.691,0.789,0.834,0.089,2.117,0.812,0.221,150.0,150.0,183.848,0.433,130.0,bot
1317,va-vfs-bot,190,1,2,1,0.5,5.07,0.574,12.174,0.707,3.157,95.0,95.0,125.865,0.468,89.0,1.0,1.0,0.0,0.0,0.0,21.111,9.0,23.788,0.567,43.0,95.413,11.928,137.481,0.511,99.964,12.441,7.464,12.896,0.522,18.675,,,0.0,0.0,,190.0,190.0,0.0,0.0,0.0,bot
1318,vaporbot,5,3,2,2,1.0,19.402,0.123,38.64,0.748,19.492,2.5,2.5,0.707,0.1,0.5,1.5,1.5,0.707,0.167,0.5,1.25,1.0,0.5,0.15,0.25,0.056,0.0,0.112,0.0,0.056,25.795,0.022,44.658,0.666,38.681,19.402,0.123,38.64,0.748,19.492,1.667,2.0,0.577,0.133,0.5,bot
1320,vc-ci,283,7,12,1,0.083,0.937,0.014,3.179,0.9,0.102,23.583,8.5,44.984,0.66,10.75,3.083,4.0,1.564,0.241,3.0,2.695,1.0,3.061,0.459,3.0,0.973,0.0,5.26,0.891,0.019,1.559,0.029,3.196,0.818,0.852,0.996,0.001,2.731,0.876,0.048,40.429,13.0,67.798,0.62,13.5,bot
1323,video-archivist-bot,21,2,2,1,0.5,101.266,59.817,115.775,0.556,132.284,10.5,10.5,6.364,0.214,4.5,1.5,1.5,0.707,0.167,0.5,2.1,1.0,2.132,0.414,0.75,80.331,0.0,160.9,0.326,31.06,135.778,94.032,123.429,0.469,148.371,155.893,155.893,146.604,0.332,103.665,10.5,10.5,13.435,0.452,9.5,bot
